Wavelength;A3791_e;A3792_e;A3793_e;A3797_e;A3798_e;A3799_c;A3800_e;A3801_e;A3803_c;A3804_e;A3805_e;A3694_c;A3705_e;A3710_e;A3476_e;A3479_e;A3480_c;A3484_c;A3394_e;A3232_e;A3244_c;A3149_e;A3151_e;A3154_e;A3049_e;A3051_e;A3094_c;A3100_e;A3115_c;A2751;A2752;A2759;A2760;A2761;A2762;A2763;A2764;A2765;A2814;A2543;A2548;A2550;A2554;A2555;A2556;A2561;A2565;A2567;A2568;A2570;A2575;A2605;A2607;A261;A2617;A2619;A2620;A2621;A2622;A2625;A2627;A2643;A2650;A2651
1297;0.02980744;0.038402136;0.103906719;0.060223287;0.078210419;0.094479026;0.098119238;0.114520312;0.181756324;0.090552511;0.035786964;0.439727437;0.935480477;0.762985009;0.086574555;0.070218821;0.030340249;0.04095433;0.378254377;0.085261856;0.070996524;0.184349151;0.090985101;0.04766022;0.160741093;0.057473337;0.252266207;0.053801934;0.056930605;0.045496418;0.016803745;0.052494611;0.088038229;0.071682914;0.052185466;0.030015859;0.021163129;0.022089344;0.079500389;0.150672099;0.041171404;0.179853379;0.090333573;0.03212292;0.027673568;0.028390545;0.034987492;0.128698272;0.054503376;0.298088301;0.133345858;0.091061889;0.071951647;0.060701642;0.088883479;0.044154841;0.049239127;0.04192394;0.069060292;0.034646218;0.516074493;0.170026943;0.116987645;0.043770216
1298;0.029312557;0.037730771;0.101660543;0.05902076;0.076776732;0.092398465;0.096390584;0.112126744;0.179068922;0.08897543;0.035172681;0.431473536;0.916142497;0.749431092;0.085145219;0.069875216;0.02991633;0.040366183;0.374179136;0.083826275;0.070234219;0.180406307;0.090409368;0.046741976;0.158238146;0.057062948;0.248187943;0.053114927;0.056108102;0.045279249;0.016527081;0.051545835;0.087423766;0.070988468;0.051506799;0.029675514;0.020706392;0.02169177;0.078248509;0.149579109;0.040560341;0.177611128;0.089344124;0.031582222;0.027174187;0.027882159;0.034356604;0.126336221;0.053500091;0.297977172;0.132879592;0.089885697;0.071512949;0.05990756;0.088443707;0.043838467;0.048762645;0.041407245;0.068079598;0.034129622;0.514914298;0.169441894;0.11495419;0.043071214
1299;0.028811428;0.037037439;0.099398798;0.057768811;0.075306544;0.090299742;0.094635155;0.109733014;0.176322769;0.087351233;0.034530093;0.42318873;0.896707221;0.735764513;0.083691782;0.069539757;0.029446466;0.039762913;0.370047766;0.082360758;0.069448646;0.176417098;0.08979653;0.045835502;0.155717986;0.056643994;0.244006654;0.052413451;0.055290865;0.045050652;0.016233167;0.050577096;0.086797594;0.070300827;0.050833951;0.029352006;0.020273024;0.021282942;0.076955719;0.148526149;0.039911189;0.175333195;0.088313191;0.031050998;0.026653274;0.027369468;0.033719077;0.123959134;0.052454233;0.29779705;0.132398946;0.088682907;0.071080132;0.059111999;0.088008161;0.043504696;0.048276364;0.040899624;0.067075993;0.033586169;0.513721463;0.168890269;0.112894859;0.042389349
1300;0.028299177;0.036336156;0.097064152;0.056495535;0.073794892;0.08815119;0.092845604;0.107256128;0.173489941;0.085664667;0.033869827;0.414671741;0.87680091;0.721768508;0.082220114;0.069207851;0.028967793;0.039162226;0.365841788;0.080815463;0.068627129;0.17231139;0.089221127;0.044908539;0.1531218;0.056212641;0.239684398;0.051688174;0.054472208;0.044798242;0.015904867;0.049602863;0.086156817;0.069568577;0.050161068;0.029011171;0.019810674;0.02085584;0.075638215;0.147429316;0.039239907;0.173004139;0.087261931;0.030511626;0.026116133;0.026843843;0.033070338;0.121525355;0.051363978;0.297546448;0.131918201;0.087461283;0.070623854;0.058296703;0.087540111;0.043208902;0.047770987;0.040349109;0.066060373;0.033002518;0.512441832;0.168285767;0.110777832;0.041657709
1301;0.027789048;0.035600478;0.094682214;0.055189131;0.072237695;0.085935649;0.090992897;0.104705597;0.170595941;0.083945633;0.033174381;0.405937555;0.856479636;0.707442851;0.080699255;0.068849584;0.028488897;0.038552052;0.361492651;0.079219914;0.067775778;0.168099184;0.088623017;0.043962427;0.150413392;0.055759197;0.235144209;0.050928662;0.053607469;0.044527215;0.015568709;0.048632953;0.085518411;0.068811415;0.049453645;0.028663795;0.019309646;0.020392022;0.074259778;0.146290375;0.038525528;0.17060478;0.086165414;0.029969368;0.025572963;0.026299077;0.032404679;0.119005433;0.050265604;0.297238368;0.131386271;0.086191452;0.070153521;0.05745697;0.087070458;0.042900835;0.04726917;0.039779878;0.065009409;0.03240929;0.510986707;0.167653209;0.10858924;0.040896983
1302;0.027275489;0.034838067;0.092336862;0.053879626;0.070675567;0.083747963;0.089124975;0.102181813;0.167678971;0.082215217;0.032480975;0.397287382;0.836390302;0.693259106;0.079178837;0.068479618;0.028000638;0.037930027;0.357168346;0.077630493;0.06692048;0.163898501;0.088018633;0.04302471;0.147672209;0.05530343;0.230594866;0.050194433;0.052748401;0.044280134;0.015258723;0.047650894;0.084891942;0.068051926;0.048752278;0.028359576;0.018824834;0.019946753;0.07287753;0.145195313;0.037814437;0.168189489;0.085067742;0.029420186;0.025037033;0.025753621;0.031751814;0.116486735;0.049196584;0.296879969;0.130857379;0.084906512;0.069692871;0.056621421;0.0865871;0.042570698;0.046776722;0.039219193;0.063942296;0.031837967;0.509500519;0.167054936;0.106426043;0.040154787
1303;0.026732472;0.034060004;0.089935457;0.05255437;0.06907968;0.081517578;0.087211264;0.099580488;0.164618014;0.080446688;0.031792585;0.388339315;0.815725184;0.678698824;0.077612874;0.068081939;0.02751693;0.037290946;0.352701289;0.07597534;0.06602476;0.159557247;0.087427439;0.042054897;0.144816311;0.054839788;0.22590049;0.04943872;0.051891392;0.044075161;0.014949334;0.046631502;0.084259228;0.067249049;0.048031703;0.02801698;0.018318693;0.019485579;0.071467885;0.144031107;0.037122481;0.165702336;0.083966325;0.028823135;0.024469707;0.025192303;0.031076177;0.113893472;0.048089216;0.296453172;0.130323628;0.08357383;0.069230986;0.055753641;0.086084599;0.042241858;0.046273034;0.038592308;0.06284476;0.031252254;0.507931685;0.166445591;0.104223609;0.039375377
1304;0.026174812;0.0332774;0.087526356;0.051220399;0.067465025;0.079261994;0.085288002;0.09698194;0.161532154;0.078686005;0.031090646;0.37932834;0.795011589;0.664065582;0.076015763;0.067652721;0.027033474;0.036644004;0.348128755;0.074280604;0.065088073;0.155203224;0.08682527;0.041066388;0.141906159;0.054357364;0.22112498;0.048649031;0.051022903;0.043879976;0.014631878;0.045621224;0.083672922;0.066456784;0.047283494;0.027668538;0.017819415;0.019024671;0.070018782;0.142848602;0.036407684;0.163202673;0.082844355;0.02824717;0.023885573;0.024599454;0.030404573;0.11126861;0.046972929;0.295943092;0.129759667;0.08221625;0.068765639;0.054875278;0.085595475;0.041883218;0.045756031;0.037962642;0.061723037;0.0306585;0.506266244;0.165827312;0.101986762;0.038558405
1305;0.025603408;0.032470402;0.085128419;0.049873791;0.065840043;0.077011364;0.083356953;0.094349713;0.158404044;0.076899267;0.030380133;0.370236432;0.774210955;0.649305374;0.074407223;0.067205743;0.026555169;0.035973564;0.34347934;0.072548865;0.064113729;0.150847858;0.086227198;0.040085103;0.138993556;0.053877159;0.216338922;0.047856209;0.050130467;0.043678403;0.014319879;0.044594785;0.08308822;0.065646131;0.046537748;0.027340536;0.017375469;0.018567742;0.068586097;0.14168217;0.035659414;0.160691459;0.081703968;0.027677422;0.023320328;0.023998744;0.029719801;0.108635056;0.045823132;0.29536374;0.129205637;0.080825803;0.068298334;0.054005136;0.085100014;0.041518641;0.045219882;0.037351289;0.060592562;0.030065435;0.504612105;0.165221631;0.099745341;0.037739069
1306;0.02500961;0.031634856;0.082643764;0.048456267;0.064144404;0.074686711;0.081335886;0.09162067;0.155092152;0.075015554;0.029637635;0.360698493;0.752494119;0.633836891;0.072726879;0.066752675;0.02605847;0.035267898;0.338557115;0.070710293;0.063085024;0.146362603;0.085611147;0.039065785;0.135967722;0.053390539;0.211327199;0.047001598;0.049171877;0.043459476;0.013984566;0.04350466;0.082453039;0.064816751;0.045761017;0.026991978;0.016908062;0.018093177;0.067101621;0.140445054;0.034867805;0.158083785;0.080525493;0.027074314;0.022731637;0.023387878;0.029006327;0.105861298;0.044599279;0.294688894;0.128621303;0.079381938;0.067808973;0.05308778;0.084594659;0.041164765;0.044659243;0.036685519;0.059417562;0.029440803;0.502814256;0.164586962;0.097383035;0.036883654
